GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
msa-ecommerce-product,com.commerce.common.domain.model,Quantity,27,60,6,6,3,11,6,11,3,8
msa-ecommerce-product,com.commerce.common.domain.model,AggregateRoot,9,40,0,0,3,11,2,5,2,5
msa-ecommerce-product,com.commerce.common.domain.model,BaseEntity,0,39,0,0,0,16,0,7,0,7
msa-ecommerce-product,com.commerce.product.infrastructure.persistence.config,JpaConfig,3,0,0,0,1,0,1,0,1,0
msa-ecommerce-product,com.commerce.product.infrastructure.persistence.config,RedisConfig,34,0,0,0,9,0,2,0,2,0
msa-ecommerce-product,com.commerce.product.infrastructure.persistence.repository,ProductJpaRepositoryCustomImpl,615,0,44,0,152,0,41,0,18,0
msa-ecommerce-product,com.commerce.product.infrastructure.persistence.repository,ProductJpaRepositoryCustomImpl.ProductProjection,51,0,0,0,1,0,9,0,9,0
msa-ecommerce-product,com.commerce.product.infrastructure.persistence.repository,ProductJpaRepositoryCustomImpl.WhereClauseResult,15,0,0,0,1,0,3,0,3,0
msa-ecommerce-product,com.commerce.product.api.config,SwaggerConfig,43,0,0,0,12,0,2,0,2,0
msa-ecommerce-product,com.commerce.product.api.config,ExecutorConfig,27,0,0,0,8,0,2,0,2,0
msa-ecommerce-product,com.commerce.product.api.config,ServiceConfig,14,0,0,0,2,0,2,0,2,0
msa-ecommerce-product,com.commerce.product.application.event,DomainEventHandler,11,0,0,0,3,0,2,0,2,0
msa-ecommerce-product,com.commerce.product.application.event,InventoryEventHandler,17,122,2,6,5,33,2,10,0,8
msa-ecommerce-product,com.commerce.common.exception,BusinessException,18,0,0,0,7,0,3,0,3,0
msa-ecommerce-product,com.commerce.common.exception,DomainException,0,9,0,0,0,4,0,2,0,2
msa-ecommerce-product,com.commerce.product.application.factory,ProductOptionFactory,0,43,0,2,0,10,0,3,0,2
msa-ecommerce-product,com.commerce.product.api.exception,ErrorResponse.ErrorResponseBuilder,65,0,0,0,1,0,9,0,9,0
msa-ecommerce-product,com.commerce.product.api.exception,GlobalExceptionHandler,127,0,0,0,45,0,7,0,7,0
msa-ecommerce-product,com.commerce.product.api.exception,ErrorResponse,43,0,0,0,7,0,8,0,8,0
msa-ecommerce-product,com.commerce.product.infrastructure.kafka.adapter,DomainEventPublisherAdapter,64,0,2,0,18,0,7,0,6,0
msa-ecommerce-product,com.commerce.inventory.application.service,ReserveStockService,383,0,12,0,82,0,20,0,14,0
msa-ecommerce-product,com.commerce.inventory.application.util,ValidationHelper,45,24,14,2,12,7,11,2,4,1
msa-ecommerce-product,com.commerce.product.domain.model.saga,BundleReservationSaga,20,273,3,13,3,73,5,29,2,24
msa-ecommerce-product,com.commerce.product.domain.model.saga,SagaId,77,18,16,2,5,5,15,2,6,2
msa-ecommerce-product,com.commerce.product.domain.model.saga,SagaStep,9,88,1,3,3,20,4,10,3,9
msa-ecommerce-product,com.commerce.product.domain.model.saga,SagaStep.StepStatus,0,33,0,0,0,6,0,1,0,1
msa-ecommerce-product,com.commerce.product.domain.model.saga,SagaStatus,7,72,4,6,1,12,4,6,1,4
msa-ecommerce-product,com.commerce.inventory.domain.model,SkuCode,6,34,1,5,1,8,1,6,0,4
msa-ecommerce-product,com.commerce.inventory.domain.model,Inventory,13,357,4,26,3,74,5,31,1,20
msa-ecommerce-product,com.commerce.inventory.domain.model,Sku,49,142,0,18,21,40,3,21,3,12
msa-ecommerce-product,com.commerce.inventory.domain.model,UpdateSkuCommand.UpdateSkuCommandBuilder,12,35,0,0,0,1,1,6,1,6
